cap_gap,cap_width,finger_count,finger_length,bottom_to_bottom,bottom_to_ground,ground_to_ground,top_to_bottom,top_to_ground,top_to_top
2.1,4.9,1.0,35.9,12.79703,12.12519,59.4986,0.5118400000000001,16.38046,17.08743
4.1,6.9,2.0,25.9,20.39118,17.80506,64.29761,2.30923,14.66488,17.19448
4.1,4.9,5.0,45.9,34.26941,22.98576,76.87283,10.87665,21.84617,33.10597
2.1,4.9,6.0,15.9,31.33972,23.49326,71.06276,7.59193,15.03242,22.81297
2.1,14.9,2.0,45.9,36.49643,29.00281,82.97767,7.19281,20.46334,27.90684
2.1,12.9,8.0,15.9,81.48534,61.13093,124.12303,19.67269,26.62307,46.76219
4.1,8.9,9.0,45.9,83.04592,53.07359,122.58964,29.34703,33.68903,63.39502
4.1,10.9,3.0,35.9,33.51556,26.12726,81.7741,6.99813,22.49744,29.85814
2.1,14.9,10.0,15.9,113.34224,84.46821,156.69546,27.78399,33.95713,62.16747
2.1,6.9,9.0,45.9,75.64046,41.47017,104.1627,33.4977,27.748920000000002,61.65329
4.1,6.9,10.0,25.9,65.88382,47.27935,106.66066000000001,17.92697,24.95133,43.27616
2.1,10.9,7.0,45.9,80.22864,48.64112,115.72236,31.19457,31.0814,62.71578
2.1,4.9,2.0,35.9,20.00715,16.4614,62.74111,3.2805400000000002,14.57977,18.08957
4.1,6.9,1.0,25.9,13.58084,12.91772,60.07192,0.47735000000000005,15.77519,16.43384
2.1,8.9,9.0,15.9,65.28973,47.61845,106.11881,17.12181,23.91862,41.25534
4.1,4.9,6.0,45.9,42.68437,28.59033,81.2603,13.59703,20.35564,34.2428
4.1,10.9,7.0,15.9,59.97533,47.63709,108.55286,11.81243,25.49016,37.62589
2.1,8.9,1.0,25.9,14.6845,13.63373,61.02824,0.8405,16.36002,17.4134
4.1,6.9,9.0,15.9,52.18314,40.52186,97.38341,11.24745,22.95146,34.53397
4.1,4.9,2.0,25.9,17.96055,15.82949,61.62391,1.87826,13.95284,16.04652
2.1,6.9,1.0,35.9,13.65311,12.79906,61.61259,0.6644100000000001,17.23999,18.10187
4.1,6.9,5.0,45.9,41.4536,27.96901,85.89948,12.98381,24.28006,37.54701
2.1,8.9,5.0,45.9,51.5451,32.03806,91.33395,19.11091,25.08716,44.69065
4.1,12.9,4.0,15.9,43.86351,36.29128,90.4997,7.11458,20.20221,27.60126
4.1,8.9,1.0,35.9,14.5576,13.74079,62.9326,0.59997,18.15956,18.99567
2.1,6.9,5.0,15.9,32.79263,24.98322,74.98806,7.54392,17.01049,24.80333
2.1,14.9,6.0,25.9,77.72557,56.22829,119.23195,20.70502,26.9468,48.0441
2.1,10.9,3.0,25.9,32.67734,24.96192,77.72447,7.33754,19.72249,27.33572
2.1,6.9,10.0,35.9,77.66961,46.55876,105.45588,30.36821,24.23377,54.90184
4.1,8.9,5.0,15.9,38.41039,31.01324,84.34953,6.92508,19.80164,27.11536
2.1,12.9,4.0,45.9,57.7175,39.89275,98.69279,17.42141,23.66195,41.45239
4.1,10.9,6.0,15.9,53.69911,43.23129,100.23065,9.94416,22.20827,32.51327
4.1,6.9,8.0,15.9,48.25633,38.00365,92.14798,9.87868,20.48961,30.71664
2.1,8.9,10.0,35.9,92.02247,57.00902,120.56801,34.41168,27.49412,62.39135
2.1,4.9,3.0,35.9,22.72391,16.45217,65.59723,6.00201,17.40164,23.66125
2.1,8.9,8.0,15.9,60.00257,44.42258,100.27778,15.03656,21.21543,36.59696
4.1,4.9,7.0,45.9,45.57815,28.7279,85.99763,16.327,24.15577,40.89145
4.1,10.9,2.0,35.9,27.51404,23.29018,73.35986,3.83797,17.53586,21.64499
2.1,12.9,1.0,25.9,17.09158,15.6152,65.39487,1.21439,17.66281,19.13604
2.1,6.9,8.0,45.9,70.88774,40.91534,98.92538,29.3594,23.3234,53.06509
2.1,10.9,6.0,45.9,73.21506,46.68528,107.68278,26.15279,25.51197,52.124
2.1,12.9,10.0,25.9,109.99568,75.99403,146.63857,33.22374,32.60437,66.28661
2.1,14.9,3.0,45.9,45.80151,32.43367,94.01968,12.98061,26.91379,40.34445
2.1,4.9,7.0,15.9,34.20523,24.93093,74.08669,9.01338,16.81093,26.06686
2.1,12.9,9.0,15.9,89.31992,66.22329,133.15369,22.3158,29.96036,52.73888
4.1,8.9,8.0,45.9,77.76412,51.52313,115.57029,25.69001,28.43415,54.65327
2.1,10.9,2.0,25.9,26.31652,21.78449,70.09003,4.16478,16.02131,20.43053
4.1,12.9,1.0,35.9,16.94834,15.82673,68.01954,0.8948300000000001,19.69391,20.88635
4.1,8.9,4.0,15.9,33.39056,27.68488,78.29758,5.29772,17.15806,22.69053
2.1,12.9,5.0,45.9,66.04128,42.69495,108.21139,22.92025,29.63202,52.99518
2.1,6.9,4.0,15.9,28.82295,22.80759,70.09128,5.80855,14.93199,20.96319
4.1,12.9,10.0,35.9,114.47928,80.76278,156.44909,32.92756,37.25423,70.88617
2.1,14.9,7.0,25.9,86.90453,61.29706,129.18602,24.66807,31.58062,56.71632
2.1,8.9,4.0,45.9,45.71436,30.89359,85.2308,14.38965,20.30023,34.95918
4.1,12.9,5.0,15.9,51.34437,41.59208,100.17763,9.24356,23.73754,33.32253
4.1,8.9,10.0,25.9,79.05398,57.52802,121.676,20.77686,28.32602,49.5259
4.1,4.9,3.0,25.9,20.16766,16.43537,64.69142,3.43034,16.26412,19.92818
4.1,6.9,4.0,45.9,37.49176,27.36127,79.74403,9.7772,19.5164,29.62838
2.1,6.9,7.0,15.9,43.05722,31.72234,84.45251,11.01676,18.87173,30.22383
2.1,10.9,9.0,15.9,77.14907,56.74737,119.50314,19.67217,26.78203,46.93037
2.1,14.9,4.0,25.9,54.70802,41.19832,98.34545,12.92661,22.36109,35.58637
2.1,10.9,10.0,45.9,116.42465,69.32856,140.00644,46.49755,32.92553,80.01761
2.1,4.9,8.0,45.9,58.31384,32.50891,86.11891,25.29661,20.64662,46.30918
2.1,10.9,1.0,25.9,15.85937,14.59225,63.10484,1.02072,17.065,18.33345
4.1,12.9,2.0,35.9,30.36606,25.75419,77.56731,4.29179,18.57124,23.13658
2.1,12.9,6.0,45.9,82.26354,53.35816,117.59754,28.45042,27.87137,56.74334
4.1,8.9,7.0,15.9,51.04245,40.31861,97.60517,10.17996,22.85235,33.39563
4.1,10.9,9.0,45.9,95.58473,62.46966,136.80111,32.42689,37.20568,70.25367
4.1,10.9,10.0,15.9,84.17214,66.00256,132.3595,17.38885,29.62583,47.46738
2.1,6.9,3.0,35.9,26.64718,19.18073,70.2738,7.12697,18.82121,26.21402
4.1,6.9,7.0,45.9,55.7969,35.76054,97.29848,19.38918,27.25768,46.99644
4.1,12.9,6.0,15.9,61.5811,49.66988,109.4979,11.35273,24.52205,36.1492
2.1,8.9,7.0,45.9,70.22354,41.43609,104.86365,28.32001,28.16264,56.91556
2.1,14.9,8.0,35.9,109.62714,73.53178,145.28737,35.44689,33.32697,69.29922
